date,is_refugees,fc_refugees,total
1937-08-15,0,13200,0
1937-08-30,52106,27230,79336
1937-09-09,60595,0,0
1937-09-23,61896,0,0
1937-10-28,72447,23800,96247
1937-11-11,73191,0,0
1937-12-02,93269,0,0
1937-12-06,95336,0,0
1937-12-14,91597,25900,117497
1938-02-01,0,18735,0
1938-04-01,0,17000,0
1938-06-01,40000,0,0
1938-10-23,54771,27102,81873
1938-11-07,0,10146,0
1938-12-29,53922,0,0
1939-02-01,52153,0,0
1939-06-20,0,18313,0
1939-10-04,39073,0,0
1940-04-01,0,400,0
1940-02-02,19774,0,19774
1940-06-01,18031,0,0
1940-10-01,16396,0,0
1940-12-18,14764,0,14764
1941-01-03,15185,0,15185
1941-08-15,13108,0,13108
1942-01-05,11955,0,11955
1942-10-01,2238,0,2238
1943-12-01,2169,0,2169
1943-02-01,2154,0,2154
1943-03-01,1887,0,1887
1943-12-01,1516,0,1516
1944-02-01,1668,0,1668
1944-09-01,1353,0,1353
